Dimension,DatasetSize,GenTokenTime(ms),SearchTime(ms),Repeat
2,1000,10.6986,237624,1
3,1000,15.9878,312617,1
4,1000,21.3467,382497,1
5,1000,27.324,471832,1
6,1000,32.0883,552562,1
7,1000,37.2798,616758,1
8,1000,42.6477,678269,1
2,1000,10.7067,236970,2
3,1000,16.0446,313745,2
4,1000,21.3438,382409,2
5,1000,26.7402,471993,2
6,1000,32.0472,552352,2
7,1000,37.2687,617121,2
8,1000,42.6049,677629,2
2,1000,10.7312,236742,3
3,1000,15.9792,312534,3
4,1000,21.3381,382975,3
5,1000,26.7983,472083,3
6,1000,31.9958,552369,3
7,1000,37.3522,616909,3
8,1000,42.7859,678382,3
2,1000,10.7278,237267,4
3,1000,15.8994,312961,4
4,1000,21.3594,382525,4
5,1000,26.702,472387,4
6,1000,32.4321,552939,4
7,1000,37.3135,616828,4
8,1000,42.6296,677332,4
2,1000,10.6703,236929,5
3,1000,16.0263,312013,5
4,1000,21.3315,382555,5
5,1000,26.6953,472160,5
6,1000,32.0402,552809,5
7,1000,37.4098,616924,5
8,1000,42.6161,677866,5
2,1000,10.6808,237245,6
3,1000,16.0124,312783,6
4,1000,21.3579,382513,6
5,1000,26.6974,472044,6
6,1000,32.0454,552600,6
7,1000,37.3184,616525,6
8,1000,42.6749,677820,6
2,1000,10.7243,237445,7
3,1000,16.012,312817,7
4,1000,21.308,381996,7
5,1000,26.6791,471899,7
6,1000,32.0492,552550,7
7,1000,37.3029,616909,7
8,1000,42.6443,678178,7
2,1000,10.698,237756,8
3,1000,16.0636,314308,8
4,1000,21.3754,382497,8
5,1000,26.7311,472325,8
6,1000,31.996,552398,8
7,1000,37.3017,616806,8
8,1000,42.7465,677947,8
2,1000,10.744,237100,9
3,1000,15.917,313016,9
4,1000,21.2954,382598,9
5,1000,26.6534,472181,9
6,1000,31.9955,552517,9
7,1000,37.3012,616279,9
8,1000,42.6316,678270,9
2,1000,10.7099,236951,10
3,1000,15.9365,312208,10
4,1000,21.3523,382574,10
5,1000,26.688,471889,10
6,1000,32.0559,552221,10
7,1000,37.3506,616772,10
8,1000,42.6899,677500,10
